id,question,final_decision
pubmedqa_275,Are increased carotid artery pulsatility and resistance indexes early signs of vascular abnormalities in young obese males?,yes
pubmedqa_67,Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,yes
pubmedqa_318,Do familiar teammates request and accept more backup?,yes
pubmedqa_548,Do adjuvant aromatase inhibitors increase the cardiovascular risk in postmenopausal women with early breast cancer?,yes
pubmedqa_998,Can autologous platelet-rich plasma gel enhance healing after surgical extraction of mandibular third molars?,yes
pubmedqa_714,Does growth hormone replacement therapy reduce mortality in adults with growth hormone deficiency?,no
pubmedqa_753,Does laparoscopic cholecystectomy influence peri-sinusoidal cell activity?,yes
pubmedqa_327,Can routinely collected ambulance data about assaults contribute to reduction in community violence?,maybe
pubmedqa_382,Clinical identifiers for early-stage primary/idiopathic adhesive capsulitis: are we seeing the real picture?,no
pubmedqa_451,Lloyd-Davies position with Trendelenburg--a disaster waiting to happen?,yes
pubmedqa_522,The HELPP syndrome--evidence of a possible systemic inflammatory response in pre-eclampsia?,yes
pubmedqa_218,Does topical ropivacaine reduce the post-tonsillectomy morbidity in pediatric patients?,yes
pubmedqa_787,Does base deficit predict mortality in patients with severe traumatic brain injury?,no
pubmedqa_436,Does having a regular primary care clinician improve quality of preventive care for young children?,yes
pubmedqa_764,Are high flow nasal cannulae noisier than bubble CPAP for preterm infants?,no
pubmedqa_88,Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?,yes
pubmedqa_63,Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?,yes
pubmedqa_826,Does SYNTAX score predict in-hospital outcomes in patients with ST elevation myocardial infarction undergoing primary percutaneous coronary intervention?,yes
pubmedqa_716,Can serum be used for analyzing the EGFR mutation status in patients with advanced non-small cell lung cancer?,yes
pubmedqa_351,Is scintigraphy a guideline method in determining amputation levels in diabetic foot?,yes
pubmedqa_936,Does ossification of the posterior longitudinal ligament affect the neurological outcome after traumatic cervical cord injury?,no
pubmedqa_256,Is breast cancer prognosis inherited?,yes
pubmedqa_635,Does early discharge with nurse home visits affect adequacy of newborn metabolic screening?,no
pubmedqa_644,Can dentists recognize manipulated digital radiographs?,no
pubmedqa_554,Are WHO/UNAIDS/UNICEF-recommended replacement milks for infants of HIV-infected mothers appropriate in the South African context?,no
pubmedqa_959,Is the h-index predictive of greater NIH funding success among academic radiologists?,yes
pubmedqa_168,Is it necessary to insert a nasobiliary drainage tube routinely after endoscopic clearance of the common bile duct in patients with choledocholithiasis-induced cholangitis?,no
pubmedqa_917,Does radiotherapy around the time of pregnancy for Hodgkin's disease modify the risk of breast cancer?,yes
pubmedqa_528,Can echocardiography and ECG discriminate hereditary transthyretin V30M amyloidosis from hypertrophic cardiomyopathy?,yes
pubmedqa_823,Does the sex of acute stroke patients influence the effectiveness of rt-PA?,no
pubmedqa_985,Does septoplasty change the dimensions of compensatory hypertrophy of the middle turbinate?,no
pubmedqa_816,Do ventricular arrhythmias in athletes subside over time?,yes
pubmedqa_86,Is it Crohn's disease?,maybe
pubmedqa_432,Can dobutamine stress echocardiography induce cardiac troponin elevation?,no
pubmedqa_184,Are there risk factors that increase the rate of staple line leakage in patients undergoing primary sleeve gastrectomy for morbid obesity?,yes
pubmedqa_978,Is eligibility for a chemotherapy protocol a good prognostic factor for invasive bladder cancer after radical cystectomy?,yes
pubmedqa_534,Is anorectal endosonography valuable in dyschesia?,yes
pubmedqa_294,Proof of concept study: does fenofibrate have a role in sleep apnoea syndrome?,yes
pubmedqa_892,Can clinical supervision sustain our workforce in the current healthcare landscape?,yes
pubmedqa_425,Are octogenarians at high risk for carotid endarterectomy?,no
pubmedqa_713,Is the 7th TNM edition suitable for biological predictor in early gastric cancer?,yes
pubmedqa_260,Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Residency?,yes
pubmedqa_237,Estimation of basal metabolic rate in Chinese: are the current prediction equations applicable?,yes
pubmedqa_559,Are physicians meeting the needs of family caregivers of the frail elderly?,no
pubmedqa_583,Screening for gestational diabetes mellitus: are the criteria proposed by the international association of the Diabetes and Pregnancy Study Groups cost-effective?,yes
pubmedqa_445,The secular growth acceleration: does it appear during fetal life?,no
pubmedqa_867,Predicting admission at triage: are nurses better than a simple objective score?,yes
pubmedqa_800,Two-year follow-up survey of patients with allergic contact dermatitis from an occupational cohort: is the prognosis dependent on the omnipresence of the allergen?,yes
pubmedqa_599,Reporting and interpreting red blood cell morphology: is there discordance between clinical pathologists and clinicians?,yes
pubmedqa_849,Double reading of barium enemas: is it necessary?,no
pubmedqa_265,Are pectins involved in cold acclimation and de-acclimation of winter oil-seed rape plants?,yes
pubmedqa_995,Does gestational age misclassification explain the difference in birthweights for Australian aborigines and whites?,no
pubmedqa_529,Does pediatric housestaff experience influence tests ordered for infants in the neonatal intensive care unit?,yes
pubmedqa_55,Is there a correlation between androgens and sexual desire in women?,yes
pubmedqa_120,Do patients with rheumatoid arthritis established on methotrexate and folic acid 5 mg daily need to continue folic acid supplements long term?,yes
pubmedqa_215,Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,no
pubmedqa_25,Amblyopia: is visual loss permanent?,no
pubmedqa_72,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,yes
pubmedqa_44,Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,yes
pubmedqa_247,Is the international normalised ratio (INR) reliable?,maybe
pubmedqa_721,Longer term quality of life and outcome in stroke patients: is the Barthel index alone an adequate measure of outcome?,yes
pubmedqa_281,Does responsibility affect the public's valuation of health care interventions?,maybe
pubmedqa_893,Is the determination of specific IgE against components using ISAC 112 a reproducible technique?,yes
pubmedqa_914,Is endometrial polyp formation associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1?,yes
pubmedqa_810,Does feeding tube insertion and its timing improve survival?,no
pubmedqa_244,Is there a role for endothelin-1 in the hemodynamic changes during hemodialysis?,maybe
pubmedqa_822,Do cytokine concentrations in pancreatic juice predict the presence of pancreatic diseases?,yes
pubmedqa_321,Are UK radiologists satisfied with the training and support received in suspected child abuse?,no
pubmedqa_643,Can static foot posture measurements predict regional plantar surface area?,yes
pubmedqa_158,Can bisphosphonate treatment be stopped in a growing child with skeletal fragility?,maybe
pubmedqa_977,Can the Internet be used to improve sexual health awareness in web-wise young people?,maybe
pubmedqa_429,Oral mucocele/ranula: Another human immunodeficiency virus-related salivary gland disease?,yes
pubmedqa_941,Is laparoscopic sonography a reliable and sensitive procedure for staging colorectal cancer?,yes
pubmedqa_462,Laminoplasty outcomes: is there a difference between patients with degenerative stenosis and those with ossification of the posterior longitudinal ligament?,no
pubmedqa_309,Prostatic syndrome and pleural effusion: are they different diseases?,maybe
pubmedqa_697,Are there gender differences in the reasons why African Americans delay in seeking medical help for symptoms of an acute myocardial infarction?,yes
pubmedqa_60,Autoerotic asphyxiation: secret pleasure--lethal outcome?,yes
pubmedqa_884,Is routine intraoperative frozen-section examination of sentinel lymph nodes in breast cancer worthwhile?,maybe
pubmedqa_595,Prognosis of low-tone sudden deafness - does it inevitably progress to Meniere's disease?,no
pubmedqa_767,"Antiretroviral therapy related adverse effects: Can sub-Saharan Africa cope with the new ""test and treat"" policy of the World Health Organization?",no
pubmedqa_649,A comparison of 500 prefilled textured saline breast implants versus 500 standard textured saline breast implants: is there a difference in deflation rates?,yes
pubmedqa_650,Do foreign bodies migrate through the body towards the heart?,no
pubmedqa_865,Is bicompartmental knee arthroplasty more favourable to knee muscle strength and physical performance compared to total knee arthroplasty?,no
pubmedqa_668,Is there a role for fondaparinux in perioperative bridging?,no
pubmedqa_298,Is specialty care associated with improved survival of patients with congestive heart failure?,yes
pubmedqa_689,Comparative safety of infliximab and etanercept on the risk of serious infections: does the association vary by patient characteristics?,yes
pubmedqa_314,High cumulative insulin exposure: a risk factor of atherosclerosis in type 1 diabetes?,yes
pubmedqa_310,Telemedicine and type 1 diabetes: is technology per se sufficient to improve glycaemic control?,yes
pubmedqa_361,MR Diagnosis of Bone Metastases at 1.5 T and 3 T: Can STIR Imaging Be Omitted?,yes
pubmedqa_479,Long-term significance of postictal psychotic episodes II. Are they predictive of interictal psychotic episodes?,yes
pubmedqa_110,Does self-efficacy mediate the relationship between transformational leadership behaviours and healthcare workers' sleep quality?,maybe
pubmedqa_989,Do Indigenous Australians age prematurely?,no
pubmedqa_486,Dose end-tidal carbon dioxide measurement correlate with arterial carbon dioxide in extremely low birth weight infants in the first week of life?,yes
pubmedqa_363,Does pain intensity predict a poor opioid response in cancer patients?,no
pubmedqa_254,Does the Child Health Computing System adequately identify children with cerebral palsy?,no
pubmedqa_259,Stage I non-small cell lung carcinoma: really an early stage?,no
pubmedqa_802,Can nurse-led preoperative education reduce anxiety and postoperative complications of patients undergoing cardiac surgery?,yes
pubmedqa_677,Is transurethral catheterisation the ideal method of bladder drainage?,no
pubmedqa_494,Does topical N-acetylcysteine application after myringotomy cause severe otorrhea?,yes
pubmedqa_670,Patient comprehension of emergency department care and instructions: are patients aware of when they do not understand?,no
pubmedqa_377,Does elective re-siting of intravenous cannulae decrease peripheral thrombophlebitis?,yes
pubmedqa_526,Are pelvic anatomical structures in danger during arthroscopic acetabular labral repair?,yes
pubmedqa_845,Does short-term treatment with proton pump inhibitors cause rebound aggravation of symptoms?,no
pubmedqa_137,Aromatase inhibitor-related musculoskeletal symptoms: is preventing osteoporosis the key to eliminating these symptoms?,yes
pubmedqa_355,Is vitamin D insufficiency or deficiency related to the development of osteochondritis dissecans?,maybe
pubmedqa_365,Is there an intrauterine influence on obesity?,no
pubmedqa_942,Is alexithymia a risk factor for unexplained physical symptoms in general medical outpatients?,no
pubmedqa_749,Can emergency physicians accurately and reliably assess acute vertigo in the emergency department?,yes
pubmedqa_948,Is resected stomach volume related to weight loss after laparoscopic sleeve gastrectomy?,no
pubmedqa_829,Does frozen section alter surgical management of multinodular thyroid disease?,no
pubmedqa_656,Are there effects of intrauterine cocaine exposure on delinquency during early adolescence?,no
pubmedqa_199,Attenuation of ischemia/reperfusion-induced ovarian damage in rats: does edaravone offer protection?,yes
pubmedqa_213,Does age moderate the effect of personality disorder on coping style in psychiatric inpatients?,yes
pubmedqa_408,Global Longitudinal Pathway: has medical education curriculum influenced medical students' skills and attitudes toward culturally diverse populations?,yes
pubmedqa_332,Eyelid-parotid metastasis: do we screen for coexisting masses?,yes
pubmedqa_208,Measurement of head and neck paragangliomas: is volumetric analysis worth the effort?,yes
pubmedqa_613,Is irritable bowel syndrome a diagnosis of exclusion?,maybe
pubmedqa_78,Does either obesity or OSA severity influence the response of autotitrating CPAP machines in very obese subjects?,yes
pubmedqa_29,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes
pubmedqa_535,Production of chemokines by perivascular adipose tissue: a role in the pathogenesis of atherosclerosis?,yes
pubmedqa_695,Is the Androgen Deficiency of Aging Men (ADAM) questionnaire useful for the screening of partial androgenic deficiency of aging men?,no
pubmedqa_557,Epidural analgesia for surgical treatment of peritoneal carcinomatosis: a risky technique?,no
pubmedqa_836,Can dogs prime autistic children for therapy?,yes
pubmedqa_596,Can pictorial warning labels on cigarette packages address smoking-related health disparities?,yes
pubmedqa_165,Is the use of cyanoacrylate in intestinal anastomosis a good and reliable alternative?,yes
pubmedqa_918,Should displaced midshaft clavicular fractures be treated surgically?,yes
pubmedqa_495,Is non-HDL-cholesterol a better predictor of long-term outcome in patients after acute myocardial infarction compared to LDL-cholesterol?,yes
pubmedqa_824,Are head and neck specific quality of life measures necessary?,yes
pubmedqa_65,Should circumcision be performed in childhood?,no
pubmedqa_141,Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,yes
pubmedqa_925,Does a family meetings intervention prevent depression and anxiety in family caregivers of dementia patients?,no
pubmedqa_827,Is micro-computed tomography reliable to determine the microstructure of the maxillary alveolar bone?,yes
pubmedqa_655,Are variations in the use of carotid endarterectomy explained by population Need?,no
pubmedqa_331,Profiling quality of care: Is there a role for peer review?,yes
pubmedqa_664,Do people who were passive smokers during childhood have increased risk of long-term work disability?,yes
pubmedqa_249,PSA repeatedly fluctuating levels are reassuring enough to avoid biopsy?,no
pubmedqa_907,Combining process indicators to evaluate quality of care for surgical patients with colorectal cancer: are scores consistent with short-term outcome?,maybe
pubmedqa_708,Does continuous intravenous infusion of low-concentration epinephrine impair uterine blood flow in pregnant ewes?,no
pubmedqa_305,Systematic use of patient-rated depression severity monitoring: is it helpful and feasible in clinical psychiatry?,yes
pubmedqa_734,Does ambulatory process of care predict health-related quality of life outcomes for patients with chronic disease?,yes
pubmedqa_975,Does glomerular hyperfiltration in pregnancy damage the kidney in women with more parities?,no
pubmedqa_49,Assessment of carotid artery stenosis before coronary artery bypass surgery. Is it always necessary?,no
pubmedqa_896,Do women with ovaries of polycystic morphology without any other features of PCOS benefit from short-term metformin co-treatment during IVF?,no
pubmedqa_2,"Syncope during bathing in infants, a pediatric form of water-induced urticaria?",yes
pubmedqa_544,Does the manic/mixed episode distinction in bipolar disorder patients run true over time?,yes
pubmedqa_350,Birth characteristics and risk of low intellectual performance in early adulthood: are the associations confounded by socioeconomic factors in adolescence or familial effects?,no
pubmedqa_904,Is atropine needed with ketamine sedation?,yes
pubmedqa_536,Continuity of care experience of residents in an academic vascular department: are trainees learning complete surgical care?,no
pubmedqa_344,Clinician assessment for acute chest syndrome in febrile patients with sickle cell disease: is it accurate enough?,no
pubmedqa_994,Does desflurane alter left ventricular function when used to control surgical stimulation during aortic surgery?,no
pubmedqa_481,Blunt trauma in intoxicated patients: is computed tomography of the abdomen always necessary?,no
pubmedqa_575,Substance use and HIV-related sexual behaviors among US high school students: are they related?,yes
pubmedqa_33,Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,yes
pubmedqa_31,Is the Hawkins sign able to predict necrosis in fractures of the neck of the astragalus?,maybe
pubmedqa_231,Does cup-cage reconstruction with oversized cups provide initial stability in THA for osteoporotic acetabular fractures?,yes
pubmedqa_963,Outcomes of severely injured adult trauma patients in an Australian health service: does trauma center level make a difference?,yes
pubmedqa_192,Is the holmium:YAG laser the best intracorporeal lithotripter for the ureter?,yes
pubmedqa_333,Will CT ordering practices change if we educate residents about the potential effects of radiation exposure?,no
pubmedqa_3,Are the long-term results of the transanal pull-through equal to those of the transabdominal pull-through?,no
pubmedqa_204,Is unsafe sexual behaviour increasing among HIV-infected individuals?,no
pubmedqa_514,BCRABL transcript detection by quantitative real-time PCR : are correlated results possible from homebrew assays?,maybe
pubmedqa_799,Does telmisartan prevent hepatic fibrosis in rats with alloxan-induced diabetes?,yes
pubmedqa_306,Treadmill training post stroke: are there any secondary benefits?,yes
pubmedqa_109,Does the lipid-lowering peroxisome proliferator-activated receptors ligand bezafibrate prevent colon cancer in patients with coronary artery disease?,yes
pubmedqa_430,Is there an increase in the incidence of gbs carrier rates among pregnant women in northern Israel?,yes
pubmedqa_77,Continuation of pregnancy after antenatal corticosteroid administration: opportunity for rescue?,maybe
pubmedqa_84,Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,maybe
pubmedqa_286,Do symptoms predict COPD in smokers?,no
pubmedqa_82,Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,yes
pubmedqa_991,Ultrasound in squamous cell carcinoma of the penis; a useful addition to clinical staging?,yes
pubmedqa_789,Does confined placental mosaicism account for adverse perinatal outcomes in IVF pregnancies?,no
pubmedqa_894,Is the first urinary albumin/creatinine ratio (ACR) in women with suspected preeclampsia a prognostic factor for maternal and neonatal adverse outcome?,yes
pubmedqa_398,Do African American women require fewer calories to maintain weight?,no
pubmedqa_323,Can the condition of the cell microenvironment of mediastinal lymph nodes help predict the risk of metastases in non-small cell lung cancer?,yes
pubmedqa_519,Does a febrile reaction to platelets predispose recipients to red blood cell alloimmunization?,yes
pubmedqa_916,Is it possible to stop treatment with nucleos(t)ide analogs in patients with e-antigen negative chronic hepatitis B?,maybe
pubmedqa_922,Rectal cancer threatening or affecting the prostatic plane: is partial prostatectomy oncologically adequate?,maybe
pubmedqa_5,Double balloon enteroscopy: is it efficacious and safe in a community setting?,yes
pubmedqa_731,Cholesterol screening in school children: is family history reliable to choose the ones to screen?,no
pubmedqa_465,Hypotension in patients with coronary disease: can profound hypotensive events cause myocardial ischaemic events?,yes
pubmedqa_97,Does hypoglycaemia increase the risk of cardiovascular events?,yes
pubmedqa_266,Updating emotional content in working memory: a depression-specific deficit?,yes
pubmedqa_357,Mitral replacement or repair for functional mitral regurgitation in dilated and ischemic cardiomyopathy: is it really the same?,no
pubmedqa_868,Target Serum Urate: Do Gout Patients Know Their Goal?,no
pubmedqa_798,Does government assistance improve utilization of eye care services by low-income individuals?,maybe
pubmedqa_380,Totally implantable venous access device placement by interventional radiologists: are prophylactic antibiotics necessary?,no
pubmedqa_631,Are virtual planning and guided surgery for head and neck reconstruction economically viable?,yes
pubmedqa_381,Starting insulin in type 2 diabetes: continue oral hypoglycemic agents?,yes
pubmedqa_490,Does increased nerve length within the treatment volume improve trigeminal neuralgia radiosurgery?,no
pubmedqa_118,"The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",yes
pubmedqa_900,Internal derangement of the temporomandibular joint: is there still a place for ultrasound?,no
pubmedqa_250,Is zero central line-associated bloodstream infection rate sustainable?,yes
pubmedqa_523,Spleen-preserving distal pancreatectomy with resection of the splenic vessels. Should one rely on the short gastric arteries?,no
pubmedqa_9,A short stay or 23-hour ward in a general and academic children's hospital: are they effective?,yes
pubmedqa_196,Does vaginal intraepithelial neoplasia have the same evolution as cervical intraepithelial neoplasia?,maybe
pubmedqa_603,Hearing loss: an unknown complication of pre-eclampsia?,yes
pubmedqa_81,Aripiprazole: a new risk factor for pathological gambling?,yes
pubmedqa_783,Does the aggressive use of polyvalent antivenin for rattlesnake bites result in serious acute side effects?,no
pubmedqa_587,Serum angiotensin-converting enzyme and frequency of severe hypoglycaemia in Type 1 diabetes: does a relationship exist?,yes
pubmedqa_797,MiraLAX vs. Golytely: is there a significant difference in the adenoma detection rate?,yes
pubmedqa_239,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes
pubmedqa_290,Hepatorenal syndrome: are we missing some prognostic factors?,yes
pubmedqa_211,Do general practice selection scores predict success at MRCGP?,yes
pubmedqa_717,Do Web-based and clinic samples of gay men living with HIV differ on self-reported physical and psychological symptoms?,maybe
pubmedqa_359,Is cholecystectomy really an indication for concomitant splenectomy in mild hereditary spherocytosis?,no
pubmedqa_449,Bridge experience with long-term implantable left ventricular assist devices. Are they an alternative to transplantation?,yes
pubmedqa_227,Can folic acid protect against congenital heart defects in Down syndrome?,no
pubmedqa_950,Do ART patients face higher C-section rates during their stage of delivery?,yes
pubmedqa_946,Can Ambu self-inflating bag and Neopuff infant resuscitator provide adequate and safe manual inflations for infants up to 10 kg weight?,maybe
pubmedqa_796,Globulomaxillary cysts--do they really exist?,no
pubmedqa_501,Does patella position influence ligament balancing in total knee arthroplasty?,yes
pubmedqa_464,Is acute fibrinous and organizing pneumonia the expression of immune dysregulation?,yes
pubmedqa_362,Histologic evaluation of the testicular remnant associated with the vanishing testes syndrome: is surgical management necessary?,yes
pubmedqa_468,Is routine chest radiography after transbronchial biopsy necessary?,no
pubmedqa_935,Have antiepileptic drug prescription claims changed following the FDA suicidality warning?,no
pubmedqa_428,Screening History Among Women with Invasive Cervical Cancer in an Academic Medical Center: Will We Miss Cancers Following Updated Guidelines?,no
pubmedqa_7,Is adjustment for reporting heterogeneity necessary in sleep disorders?,no
pubmedqa_155,Traumatic aortic injury: does the anatomy of the aortic arch influence aortic trauma severity?,yes
pubmedqa_541,Is EQ-5D a valid quality of life instrument in patients with acute coronary syndrome?,yes
pubmedqa_440,Do preoperative serum C-reactive protein levels predict the definitive pathological stage in patients with clinically localized prostate cancer?,no
pubmedqa_482,Chronic progressive cervical myelopathy with HTLV-I infection: Variant form of HAM/TSP?,yes
pubmedqa_422,Are pediatric concussion patients compliant with discharge instructions?,yes
pubmedqa_778,Can the postoperative pain level be predicted preoperatively?,yes
pubmedqa_949,Resection of colorectal liver metastases after second-line chemotherapy: is it worthwhile?,no
pubmedqa_334,Does context matter for the relationship between deprivation and all-cause mortality?,no
pubmedqa_576,Does sex influence the response to intravenous thrombolysis in ischemic stroke?,yes
