id,text,sentiment
yelp_150882,they are open 24 hours!!! \nperfect for those that get hungry after long day of gambling or traveling!!! \nfood selections are similar to cheesecake factory!!,positive
yelp_483021,"Mr Ramsey I think you are a phenomanal chef and I am a big fan , but I am dissapointed with Burgr .\nUsing your words here is a short review \nI don't want to blow smoke up your A ...\n3 words for you , In N Out !!!!!\nFries over seasoned ,\nBurgers under seasoned.\nShake chalky .\nService and ambience good.\nListen to joe Bastianich and get rid of the truffle oil.\nOn the whole a disappointing experience.",negative
yelp_147406,"I'm a big fan of the Cirque du Soleil shows and have seen over 10 of them, not one of them a disappointment. After watching this show, Mystere is now one of my favorite Cirque du Soleil shows. The stunts they pulled and the acrobatics were amazing! The most incredible part of the show was when two men were showing us how much the human body is really capable of. The cast was incredible talented and performed flawlessly. If you're into acrobatics and want to see how crazy gracefully flexible and strong the human body is, you can't miss this show! Is it expensive? It can be? Is it worth it? Hell yes!",positive
yelp_249041,"I am a frequent visitor to this chilis at chandler mall. I have to write this review because I am tired of getting my burger cooked well done. This is the 3rd time in a row that I have ordered a burger MEDIUM (not well done). I ordered the bacon burger - bacon was nicely cooked but AGAIN, the burger was like shoe leather. What is it with these places so afraid of getting people sick they can't leave any pink in the burger??? Yes the blue moon was good, yes the bartender was friendly, but I was not happy with my shoe leather well done burger that I ordered medium. I will return, but I will definitely let them know next time what I expect.",negative
yelp_2891,"I didn't quite realize how much I love Thai Cuisine until they closed for a few months to remodel. Their absence was deeply felt. Now that they are back in action, the restaurant is better than ever! It is now fully handicapped accessible, with a bright clean new dining room and multiple bathroom stalls. I was worried that the prices may increase due to the remodel, but no, they are the same. The food, also same, if not improved. The Tom Kha soup is as awesome as can be and our entrees were perfectly delicious. They still feature a separate vegetarian menu to make ordering easy. Most anything on the vegetarian menu is or can be vegan (just ask about egg - veg items do not contain fish sauce or shrimp paste). And the service has always been excellent.",positive
yelp_492896,"I planned a 40th birthday Vegas trip for a friend of mine and we planned on going to see Calvin Harris at Hakkasan on Sat. night. I worked with a VIP host to get a reservation for a table for 10 people (5 couples). He told me to arrive early, we did, he said to speak with one of his fellow hosts to get in, we did. What ensued, was the worst experience I have ever endured at a club.\n\nThe area outside the club was a veritable zoo. No clear lines, no clear signage of where to check in if you only had tickets, if you had nothing, and if you had a table. I went to the side to speak with someone and he said he could not help me, but I needed to speak to the host. It took me at least 45 min to get his attention (Greg I think). We spoke VERY briefly and I mentioned that we have a reservation for a table for 10 and he asked what our spend was. I told him it was $2k and he said to give him a minute. He waled away for at least 30 minutes. I grabbed him once again and asked what we need to do to get in. He said get in the other \""""line\"""" which was more like an ocean of people. I asked if there was any other way and he hinted that it would take some greasing of his palm. I collected what I thought was acceptable ($80) and offered it to him. He looked down and asked, \""""what's that?\"""" I said it was $80, he walked away.\n\nFrom there, I finally decided to bite the bullet and get in the \""""line\"""". After another hour or so of madness and watching others get in randomly, we decided to leave and go to XS. What I learned from this experience, makes me pretty sick. First, nothing is guaranteed, no matter how much money you are planning on spending. Two, if you plan on going to this club, be prepared to pay an extra $300-$500 to bribe the host to get you in. Now, I am all for tipping, but when you are about to spend thousands of dollars at a table to have fun for a night, there should be no need to add a bribe to that. \n\nI don't care if I sound naive or cheap, but that is complete BS. People come to Vegas from all over the country and the world to experience Vegas nightlife. If this is the norm, someone should at least tell the future guests that the only way to get in is to grease some palms with multiple Benjamins.\n\nLastly, to clear up any questions, they were not even letting in groups of smoking hot women. I am at a loss.\n\nLAME",negative
yelp_225580,"Normally it's a pleasant experience.\n\nI ordered a veggie omelette that was delivered with a bug in the greens. When I brought it up to the kid at the register he replied with,\n\n\""""Yeah, it's because we pick them fresh...it happens\""""\n\nI agreed, it does happen. No apology given though.\n\nI was asked if I'd like something else, I ordered a sand which that never came but my girlfriend had the same sand which so we split it, and it was tasty.\n\nBut, mine never came.\n\nI went back up to ask about it and was met with, \n\n\""""well we made it\""""\n\nOk great, congrats...but where is my sandwich? \n\nAt this point I am HANGRY (hungry+angry). \n\nAfter some shuffling around the same kid from earlier grabs cash from the register and says, \n\n\""""here's your money back, have a good one\"""".\n\nStill no apology...\n\nFrom a person who dines out often and is a proud foodie...just offer an apology and ask for an opportunity to get it right. \n\nThe food and ambiance is enjoyable, but not enough to make up for a lack of basic manners and personality.",negative
yelp_156971,The food here was T-e-r-r-i-b-l-e! Service was so-so...Don't waste your money here.,negative
yelp_139437,"I stayed here last September with my boyfriend, we'd reserved a queen bed room in advance. NEVER AGAIN. They double booked us so we wound up with some smokey double queen room which lacked in every which way.. I mean I know it's not the best hotel but I can't stand smelling smoke the entire time I'm in Vegas, it's bad enough the casinos aren't aired out. We didn't even get any discounts for the inconvenience. JERKS! Next time if I want to stay at the end of the strip we'll be at Stratosphere the rooms are 10x nicer.",negative
yelp_393905,Not quite the menu as the original but the tacos and the service are hard to beat.,positive
yelp_12617,"Mouth is watering just thinking about this place!!\n\nThe boyfriend and I FINALLY decided to try it out after passing it for almost a year. I loved how they kept it true and retro. Very cute inside. The service was very poor. Our waitress was sitting up at the soda bar eating when we walked in, then sat us down, handed us menus, didn't greet us and told us to just ask if we have questions to ask the table behind us since they apparently had a lot that she had answered before we arrived. Most awkward intro ever. We did have a lot, since it was our first time there and we didn't know how the menu worked. We ended up ordering a butterscotch-cookie dough ice cream soda and a fudge sundae with pistachio and vanilla ice cream, topped with whipped cream and nuts. OMG it was soooo yummy!! Biggest sundae I had ever been served! And you can bet I ate that entire thing! When we got our bill we couldn't believe how cheap it was for all that amazingness! We can forgive the customer service because that's not the main reason we went there in the first place.",positive
yelp_441139,So you'll marry someone who elopes...regardless of their intentions?!?!? But won't marry a stable couple who fought so hard for the right. SHAME!!! People like you are an embarrassment to the human race! #stayclassy,negative
yelp_513195,"Well just called for a simple togo and I asked,\"""" Can I still place a to go?\"""" I ask because I work in a kitchen and it is close to closing time , so if they are already shutting down , I understand. Guy on phone answers back with, \"""" if you want\"""". Why would I ask? Wth. He says hold on one sec and five minutes into my phone wait, still holding but my grip has weakened and so has my love for this place. I go here 3-4 times a month and than I get this. All I wanted was rice, shishitos, tuna tataki, and cajun albacore. In restaurants you have to be consistent, it's not about being escoffier one day and a burger king line cook the next. If your consistent , eventually that consistency will turn into greatness. Unfortunately this place obviously has workers in here who do not meet the consistency accord and do not want to be great. Huge disappointment, one that I will share with all my restaurant comrades .",negative
yelp_376655,"Loved this show! I agree w/ some comments about the storyline....etc. But think about it, this is a dance crew and they want it to cater to ALL age brackets. I know Jabba from ABDC, it's what I wanted to see and it's what I got. I can care less about the storyline, I want to see some tight dancing. Loved the light show and this crew is smooth and on point from beginning to finish. Also, most shows in Vegas are redundant moves, look at Cirque du Soleil, they own like 90% of the top shows in Vegas, and what do you see? It's all freaking acrobats!! Loved the music in the show and pretty much loved everything about them..sick!!!!!!!",positive
yelp_291957,Was really disappointed that my weekly visit to Jenni Pho has come to an end after arriving and finding out it had been closed by the health department. I now will go to Sammy pho after discovering it! Kinda happy Jenni Pho is closed now:),negative
yelp_136432,"I love Spearmint Rhino but the negative is that it ruined all other strip clubs for me. How could you beat free limo ride, no cover and gorgeous girls?\n\nWe called the number on their website and they brought a stretch limo to take just four people. Our chauffeur Tony was very polite and friendly. When we got in, it was very crowded but we lucked out and found a table. We eventually were able to make our way to seats on the main stage. Drinks are a little more expensive but very tall so well worth the money.\n\nNow lets talk about the most important part. I saw about 100+ girls and none of them were under an 8. A great variety of pretty girls and some of them with fantastic talent on the poles. My bf and I had an amazing time and this place is a definite must for my next visit to Vegas!",positive
yelp_74736,"I have never written a review on here before because I never felt it was necessary, but after my experience today, I advise those potential shoppers to think twice about visiting this store.\n\nI had a bad feeling about our appointment when we showed up early for our appointment and had to ask twice if we had a consultant. They finally had a room for us a half hour later, as our arms were overflowing with dresses. Once we were in a room (four girls in one room, mind you), our consultant was nowhere to be found. I would ask her to grab some dresses for us and it would take her ten minutes to come back. We had other appointments today and couldn't be waiting around. She apologized saying her other appointment ran over, but I do not feel that means she should spend less time with us. She only surfaced to take our \""""no's\"""" out of the dressing room.\n\nAdditionally, when we asked about other dresses in the line, they lied to us and said they had every dress there in store. No sooner did we leave, did I look online and find other dresses in the line that were not in store.\n\nWe understood that they were busy and that it is a Saturday during prom season, but that should not have affected our experience or the way we were treated. They treated us like our time didn't matter and that their prom girls were more important. Plus, as we were finishing up, we felt rushed out of our area because a large group was coming in and needed the space.\n\nIn short - we were made to feel like our time was not worth their efforts and that other customers were more important. The good news is that we found dresses that we love, however we will not be buying them from Michelle's.",negative
yelp_283991,Been coming since opening day but for some reason last weekend was almost terrible. The seating was terrible because my chair was place in a high traffic area so everyone that works there was bumping into me all night. Food is still great but the service is lacking. I had to asked for the lamb chops twice and they didn't serve it until I was there for 1hr 30mins. Some of the fillet minions were also dry. The dessert menu needs upgrading and what's distasteful is that the manager was too busy watching MMA at the bar instead of making sure the customers were satisfied.,negative
yelp_130516,"I really don't want to write this. This restaurant used to be on our regular rotation. That is why it is so disappointing that it has gone down hill. Yesterday I was there for the lunch buffet - which is the trademark of this place - and it about made me sick. The issue is the 'tongs' that are used to pick up your sushi from the buffet table - they are gross ! Now, I understand all buffets suffer from this issue to some extent but what was happening yesterday was a whole new level. With each new tray of sushi being brought out the staff simply took the tong from the old plate and put it on the new plate. Also - and this was the worst of it - they laid it on top of the new plate of sushi. \n\nNow, if this was one server and one plate - I wouldn't be writing this - but this was consistent throughout the 45 minutes I was there during the lunch hour. By the end the tongs were visibly filthy. I mean - sauces and rice and whatever being transferred from the old plate to the new and the servers just took it in stride. I mentioned this rather loudly to the other patrons at the buffet table and 2 others held up their tongs with a disgusting look on their face.\n\nIt was gross.....and unacceptable.....",negative
