text,gender,sentiment
Doctor Zitz De Noviz,F,0
good ones to buy and sell at,F,1
"Whether it's a laptop, phone, or computer chip and brick, you'll get the $100 insurance discount sooner here than at a local phone store (or an owner's manual). Selection: £74 - Wraparound cover: £43 - Additional device insurance: £68 - iPod  & iPhone repair",F,1
Awesome service Good price,M,1
"Great place to get shaving and other men's care products.: I have ordered multiple products from the company from expensive straight razors, colognes, razor blades, so bad...",M,1
The normal cost,F,1
"Lvl825, is easy and inexpensive",M,1
Great Workplace for an Attorney!,M,1
ashley's is my go to garage as they always have what i need!,M,1
Excellent service and product range Comms Express,M,1
Great juicer!: L'Equip 215 XL Juicer is my first juicer and I would like to say thank you for so great product!,F,1
Faster than USA companies: Prices are unbeatable for many items and I received my order faster than orders placed at USA companies at the same time. Highly recommended merchant,M,1
CheloneC holds extensive knowledge about different repayment methods on different credit cards and alerts you to the pay-off rates associated with new credit card transactions.,M,1
Tl del CAscolar Benio Vallier...pulsa original saloon...fantasy bar...hall of mirrors _ la Peze (Porte Malloy),M,1
The label looks like the ones displayed.,F,1
Best service,F,1
Fast delivery,M,1
This has the same charm as the one you would put on the yard if you had a flat floor too as it has long expanses of carpet showing.. Comes with two BUTTONS!,M,1
was really pleased with the service,M,1
"Post seven rotations you’ll find this on a camping trip at Lake Winnipesaukee. The Road Trip Techniques yields you expert knowledge and skill as you test drive, and takes you through the various terrains at touch of a button turn. Also available is the Highway Los Angeles Road Map!",M,1
Perfect.. If buying from a seller it's because you like them.,F,1
Fast and cheap!,M,1
Well lit and clean hotel,F,1
Good value on a service with value for money,M,1
Alone Gum leaves are one of the impressive aspects of this company.,M,1
easy to get in and out.,M,1
While I while for aluminum of any kind. seems like a nice idea? indeed. I actually do get very good performance everyday from this intake.,M,1
Excellent service provided with good customer service Do,M,1
Service is terrible.,M,0
The Rocky Mountain Inn is a low budget hotel.,F,1
"Excellent Site, Good Buyers.",M,1
Amazing Great boots for the BEST prices,F,1
I got a new one for a damaged item. Customer service was friendly.,F,1
Gotta love the title DOORS OF THE DEMONS!,M,1
great prices also the bike arrived earlier than the expectation,F,1
berghaus mule 40 l model bag for weekend trips,M,1
Best online cycle store in the UK....... Cts Harley Davidson??? Website,M,1
Very satisfied with product and service,M,1
"Friendly, good prices, reliable product",M,1
Best Photo and Video Company in the World,M,1
"Great! I have purchased from other online company, but they are not as good. There are many hundreds places to buy online and",F,1
I aye passed much useful service of Shopping games and live items from Games Supply!!!,M,1
Quality and style!,F,1
"Great service, easy payment, quick return of book",M,1
Easytobook hotel booking service a favorite destination with us,F,1
Affordable Hardeners was a success!!,F,1
Great place for auto parts near you!,F,1
More Satisfaction. All Weld Expert Show is the wooden stand of our dreams,F,1
Comments about unfortunate experience.,M,0
brilliant dealing with?,F,1
Excellent,M,1
very smooth transaction.very nice owner.owner does a great job.very Easy transaction.,M,1
Functional and cheap quality. Practical,M,1
"Great staff, excellent visa support.",M,1
"Excellent, fast service",F,1
Scary! I'm using www.spoutbiketrackgear.com almost repeatedly.,M,1
Lovely,F,1
Great Customer Service!!,F,1
bookit.com have good deals: I have used bookit.com a few times and have been very happy with my vacation packages. I have found the best value on vacation packages through bookit.com,M,1
Affordable Buttons gave the project their best previously than all others - when requests are exactly met.,F,1
"Pursuit of relaxation, affordability and comfort",F,1
Music City Cards and Gifts,M,1
satisfied with the product,M,1
This article relates to Attracting Short-Tailed Minion Photos,F,1
A Invisible Brace for Strengthen Your Neck - Loving It,F,1
"Best service, I like this site to get my steam codes, especially for the cheap prices",M,1
framesdirect.com,M,1
quality suit shame about the delayed receipt: Best suit,M,1
Great service and very quick delivery,M,1
fantastic,M,1
Absolutely perfect accommodation,F,1
LOVE my SAD light/SADACTFAST++ lantern,F,1
Out of the blue - we request a background check just for clothes,F,0
Great company and great COOL technology,F,1
GREAT PRICE: GREAT PRICE,M,1
never fails come here,F,1
"Being a pro photographer and B&H's most e-commerce products in the market, the narrator will not bargainsed for going anywhere else",M,1
A+,M,1
Got this for wife's 40th,M,1
"wrote about this company on our TV chat and I'd like to share the good thing..the shop is more convenient,faster and of a better quality..than the rest keeps changing the cleerios and laptops!",M,1
Great customer service.,F,1
Easy! Web site Indonesia.,F,1
My shoes are convenient and comfortable and it fits well.,F,1
Good information and excellent service,M,1
"#1 in My Book: "" Bangladesh & His Family""",F,1
Real good value for what they are offering!,M,1
Octopus Shopping Agency provide good service in calgary.,F,1
People! Great job: kill me often find something new to do and the coworkers is terrific with me.,M,1
I will not buy from PartsGeek again,M,0
I would always use Priceline because they have the BEST customer service!,F,1
Great service.,M,1
"Great quality, product which it's what I've always wanted",M,1
Long trouble and good way to get life enforced with their bad customer service,M,0
Delivery was fast knit making it easy to understand service I liked. pluck it( bit OTT taps),F,1
Great place to buy a mood or gift pen.,F,1
Satisfied with the fast service,M,1
Kitten food at reasonable delivery prices.,F,1
"Excellent Quality, customer service, size, quality and price.",F,1
You can't beat B&H when it comes to camera wholesale.,M,1
"Great selection, great prices!",M,1
The package for this was excellent and the expectations were exceeded,F,1
Everything was dealt with in a good way and even shipped to the next location of convenient.,M,1
Very convenient and accurate,M,1
excellent service,F,1
Uwe Boll reviews Bianca's CVS Pharmacy,M,1
Love the fast delivery!,F,1
Cab Bell Thank you for your review.,F,1
Customer support is great for Taunton Leisure,F,1
"Excellent overall experience, well packed and packed",F,1
He wants to get the wheel hugger drill covered with knock on sspittle.,M,0
"Compact Bar Chair, Gray, Brown and Black",F,1
Excellent customer service. Excellent customer service.,F,1
Bedeck – excellent service,M,1
Great products and service,F,1
"We started ordering products last year from the Executive Advertising and have been completely satisfied. The ease of looking up the products, getting a visual from their website can place order is by far the best around.",F,1
Great top of the range standard Fender guitars offer a great selection of models for all types of musicians.,M,1
Best place to buy a camera lens.,M,1
Awesome!: Part arrived quickly and was much less expensive than the other sites I found.,M,1
"Playmobil Users Summary for this work: 1/2- this blog was exactly what I wanted to know, and was very thankful!",M,1
B&H is the best - they always have offers on anything - which carries gifts!,M,1
BEST SERVICE!!!!!!!!,M,1
knowledgeable. fair details & price.,M,1
Get the best deals possible buy in early,F,1
Woldware F.C. Picks Amazing Rugs The USA Discount:,F,1
good deal for you,M,1
"This hotel is always a 5 star, nothing else!",M,1
The XT50 Pro was quick and very well priced for what I paid.,M,1
For support info and help deliveries make my job run smoothly.,M,1
Man at a meeting asked me to write in the evening to celebrate his career.,F,1
Good value product delivered on time,M,1
nice product,F,1
Thanks a lot!! Great service! Am taking all my business to Jon!,M,1
Their range of equipment usually beats the big shops by miles,M,1
Product is as expected.,F,1
"Great place shopping for high quality photo canisters, prints, posters, greeting cards, dvds, videos, greeting cards, plus much more.",M,1
Michael Perry,F,1
"Worked efficiently, fast, and it took a couple of hours to get done, which is very satisfied.",M,1
Can Michelle stay active with her healthy eating philosophy despite getting nerve damage to her ankles?,F,1
Easy fun and it's easy folks!,F,1
They are beautiful and this is a great figureless pen! Yes it arrived on time and the American men were also thrilled to give it to a dog who loved the cute snowman x,F,1
Limousine Oil,M,1
I don't know if I even have zero comments.,M,1
"Trustworthy sellerhas great products,easy order process,and fast, reliable shipping.It was as usual by LinqMens good products and great customer service",M,1
20% discount off RV accessories!,M,1
rapidement arrivés huit pièces en stock,F,1
Give Up For Later is a stealth game that starts out normal but when you need another text message check your sleep!,M,1
Why I love Skype!!! I am a huge fan of Skype!,M,1
Get the best in top notch car transport given to you by TransportUp.com.au. Check this now for an instant price online from our thousands of other searched car transport.,F,1
fast and easy!!! great prices two sissy,F,1
Fees - good and connected by postcode,M,1
"The glasses you buy have been arranged exactly on time and well packaged, even at a low price",F,1
The only problem I had with this store was that it was very expensive to buy the 5 Items from there which came in the same price as the store.Then they found out,M,1
"Great Transaction, Ordered Today",M,1
cash only gift card,M,1
Great Service & Affordable Pricing!!,M,1
"great price,prompt delivery.",M,1
"Excellent range of clothes, and excellent service - Includes excellent fashion options for women and men.",F,1
Excellent Service from start to finish,F,1
Great prices for hanging lanterns!,F,1
Acess of Delicious Nutritions Protein: Trying to discover how important protein supplements are.,F,1
Absolutely terrible,M,0
NutroVita: Great Hand Cream,M,1
excellent value for money,M,1
- JBSSY NEWS WEAPON is Fast Shipping: it has long life: and YEAR.,M,1
Yea the quality is so hankering for the Strandels...,M,0
Do cheap glasses mean they are cheerful?,M,1
"There are a few different printer companies in my life and they all have the same product, and they all get the same result. I chose Vista Print over all of the others because the people who do the work there are the best in the business. And I truly enjoy working with them as they are the best in the business.",M,1
Made the Bobblehead perfect and arrived exactly when quoted and after four days Pathetic professionell.,F,1
fastest passport services ever. Easy and mine is ready to go. Don't leave your pride and joy at home this time! so today mark your calendars!,M,1
"Great customer service, great product, great prices",M,1
"I am a bright wife, love the colored and handmade purses, super fast delivery, and premium quality items. I do recommend this place for our sitechaland-patterson.com",M,1
Great service,M,1
Priceling ROCKS!: I take time to bid. I have it down to a science. We have gotten resort condo's (for one night) in Scottsdale for as low as $49 a night!We've used Priceline on all our vacations. Very rarely spend more than $100 a night for 4 star hotels. We LOVE Priceline,F,1
Great Experience in Online Shopping!,M,1
"Greetings from Inkstation news center Company name: Hello Inkstation Family welcome to Inkstation Kanada. We delivery fully digital print and graphic design services,. You will see our christmas surpping our service and getting huge sale",F,1
"Essential purchase, great customer service",M,1
Had some jewelry for my wedding & wanted it custom made & had the designer help the process.,F,1
Ist sehr benstongig! Tödlicher!,F,1
YUM! Delicious desserts! 5 stars at Valley Deli - w elvis - 364 E,F,1
"When my best sim, Diablo came out, I was excited about it, but I didnt have time to play it until 8 hours before launch.",M,0
Customer Review: I love Identity Guard,F,1
BVCR,M,1
"I love this place! Ship it fast, easy, and it was so clean!",F,1
Gift card is easy,F,1
OnlyCDKeys.com Offers Cheap and Fast War Concept Sale!,M,1
supplementary my dear Watson: Great product. Great service. Great value,M,1
Online pricing - BJ Dewar customers? Welcome to BJ Dewar Oil Review: My journey through buying petrol and petrol.,M,1
great service and delivery with great prices,M,1
"Do you want your company to stand out with premium -/&+14% off the high street? Come rain or shine - buy carefully what you need. BEAUTIFUL quantity,POSITIVE quality diverse prices and fast phone delivery.From PART",M,1
"Lending a bottle opener can save you from accidentally throwing to change, help keep our ceilings secured, and make level res to clean all floors",M,1
So easy that you forget about carrying around pencils of any type of contact lens,M,1
Great Service!,M,1
with amazing service and superb product,M,1
They rock. Quality bet initially just waiting for French fries,M,1
This report examines a special event you plan to attend. The Event meets and meets the dress. Records you are preparing to wear and ourselves. From the time for the gala dinner reception to your formal dining decor. You can change our celebrated thoughts into your skin.,F,1
Reason for the 5 stars...,F,1
So far so good but why giving 4 stars,M,0
I order my items from here again.,F,1
buying a gift - jewelry items,F,1
i tested the videos his article in one of my magazines make me spending money on bookstore.,F,1
"Great rates! Selection of sewing machines, clocks, etc.",F,1
Easy and Fast on Time! This is the order I got today from Jackeng on Intl Logistics:Orijen Dog Food I like To this -,F,1
"Thank you I used HOSPITALFOOD Company for my oil changing tires, I really appreciated how honest and helpful they were",F,1
Cool and good and fast,M,1
Great prices and fast shipping.: Great place to buy car parts from.,M,1
DVD release timetables info,F,1
"Great price, excellent service",F,1
Very friendly customer service,M,1
"The Perfect Plus Game Trailer with highly interactive winning noise trails. There is a new stuff very fresh in this video for MP3 Archivers, which you can download on the You Tube channel",M,1
Perfect beanbag?,M,1
Great customer service!,F,1
Byron organised a seven-day holiday to Cape Town,F,1
Excellent service from all involved from booking to payment,F,1
Excellent Prices Fast and Free Delivery,F,1
Great prices....more than what they bill you for!! Super customer service!!! Same day service,M,1
!!!!!,F,1
Love this. They are ok but I don't want to water a Bordeaux and if that's what you have on hand make sure you pick an awesome bottle,F,1
Thanks to carkinsales.com for supplying me some pictures of the best ping pong balls,M,1
Best Kaddo...,M,1
"B&H is a pretty reliable politician, also.",M,1
Great customer service,F,1
Excellent customer service,F,1
Great!,F,1
"Answer your questions: At an affordable price, you don't have to look any further for how to buy. Instant quote : Get a quote to swine flu in your area to save money! Get a quote to be impale flu in your area to save",F,1
Mixed Impression,M,1
My Travel Helpers,F,1
Excellent product and parcel delivery.,M,1
Alyson,M,1
Good,M,1
Real electronics dealer downtown for repairs and services,M,1
Very user friendly.,M,1
goodness without the shop magic,F,1
Very efficient and swift service working for Sure Bond Agency from all Dwellings and offices including London,M,1
Good smoothie maker.,F,1
"Terrible service: Great value, they did not have a reputable shipping provider partner",M,0
It really works,M,1
Awesome company.,M,1
Write an article about Bay Joinery through Word Press,F,1
SupplementWarehouse: Bottom Line Review,M,1
"Good service, good accomodation (and a hard time with parking due to stress)",M,1
"So, how much money could a 5 % % increase in payments and fees take me away from using PayPal?",F,1
Great Indian import coffee tables. Product 1006-001 is fantastic.,M,1
love yr site: im loving the way i can buy things,M,1
Make u00f7 your domestic enthused with our greenest season to sweep through the yearu00e9),F,1
Nice racket.,F,1
Had a wash and did some research on prices,F,1
Great Service,F,1
The Best Products for the Most Affordable Price!,M,1
Flight through Asia and find the cheapest flight..,F,1
They gave me skip tracing paperwork for those linen deals!,M,1
Of best quality products at best prices,F,1
"town fair, is in northern estonia",M,1
Very good service!,M,1
Tyler earned 5 stars in my opinion,F,1
How a new player best use the site.,F,1
"Exactly as ordered, quickly, very good quality and cost very reasonable",F,1
The prices aren't too bad - Speed facilities are good too,M,1
"I ordered from GAK with a cut aftermarket wrist watch shield. When I received the watch it was only 4 days after the original sparking issue. The SS man at the checkout tries to get me a refund so I ask them to refund the money and no, the message that says ""upgrade and collect refund"" was sent to my new email in which has confirmed I could just drop off",M,1
i really remarkable cosplay store because they are great costume quality. They have friendly customer service.,M,1
Umm ok I think I heard about that company but you know web sites are way way too expensive & they will always be!,M,1
Great product.,M,1
Hi! I'm reviewing Houston Installers in the vicinity. VERY knowledgeable installers. The Follow up time is outstanding.,M,1
Good quality and prompt service at very reasonable prices. Thank you!!,F,1
Excellent service at very favourable rates,M,1
The ultimate compliment to AKiscar.,F,1
Excellent shop!,F,1
Excellent customer service after the initial order. They collect the parts on pallets and ship them to the other country in a coordinated system.,M,1
Two stars for a sofa bed and it's classy.,F,1
$200 worth of high quality mobile and contact lens parts.,M,1
Great price,M,1
My customer service experience was great and the customer service was great.,F,1
Top quality. Will use again.,F,1
I am super impressed now sheer that I spend £60.00!,F,1
Blowing a big ole girl tonight for 6 bucks and a few beers with friends? Not much to f,M,1
Grab this deal now - best deals UNLIMITED - me number: (713)763-2612 e-mail: onlineusa@live.com,M,1
Take a look before ordering large parts.,M,0
All in all the quality is good. Tutu buttons are sturdy but unsightly.,F,1
Best online service for pens that I've tried!:,F,1
"Well taken care of me and bad customer service for aftercare!!!How nice when this happened. I had two support guy names were fast, fair and thinking of help completed at on time by an FORMER company that I worked for...but I called Frooition International and was greeted promptly also.THen Thornton (Tomns Al""??) who I work with in ""las vagas"",was to head into",M,1
Guest high-grade meals.,M,1
quick delivery,M,1
Great service. Just what I wanted.,M,1
"Public Storage - ya, this one is great",F,1
Return Service: They have been complaining about customer service,F,0
Northern Parrots offers great prices and great customer service.,F,1
Great service,M,1
Money site,M,1
Like Litter Box Bags Natural(Zingers)Joy: My Pet was a Mutt and everything as she just happened to be in a litter box. My Online Mechanic,F,1
Excellent service and great prices. They were the cheapest I could find for my treadle feeder and the service was brilliant. Very quick to dispatch and the item was exactly as described,F,1
Just tried here and I wasn't happy.,F,1
Overall: I had a wonderful experience with the freshness of the produce being waiting with my thanks.,M,1
A great shopping experience,M,1
Ribbon honors Marylander at favorite Maryland show,F,1
Good customer service,F,1
Pet Fly!!!,F,1
Best company has many things.,F,1
Click. Order. Pay. Receive. Vape. Stylish but not cutting edge mcbrugs offer an extremely useful atmosphere to buyers of vape education and is fully compatible with the fine vaporizer,M,1
Great Customer Service with Lost & Found!!: Awesome Came in and checked in for scan that can get you out in a minute! Quintella was actually warm to me the entire time,F,1
A very positive online experience,M,1
I'm afraid Priceline uses an incorrect scale to rate a hotel. Double check here before buying flights and hotel accommodation online.,M,0
Reliable service and armor 3 key delivery,M,1
Maintaining my TRVOST riders and mowers was an absolute joy,M,1
Be aware of this nick,F,1
GoDaddy reviews: printout nor,M,1
Fantastic,F,1
I dont believe all the positive reviews of this business. It is amazing and they actually have a lot of experience,M,1
Great Service,M,1
Excellent service from friendly staff.,M,1
Used and Saved 50% on all Parts with Partsgeek,M,1
"Having bought a lot of XBox devices we were pleasantly disappointed. We purchased several things on squaretrade and received excellent customer service. They gave us reasonable prices for our new xbox's and protection plan for our hardware. When really frustrated they kept their word and gave us the absolute most out of our warranty money. If we bandied it, well the xbox stopped working and after a neighbor of days it fully reactivated and we were able to have ownership of our device and start saving money",M,1
Cost effective and safe way to buy Unleaded & Cucina Stittas Gift Cards Online,M,1
Very pleased with my net curtains,F,1
Love it!,F,1
SCAM!,M,0
Thank you for your tickets from Budapest to Amsterdam with Breakfast at the Mediabar,M,1
catches my eye at discount prices,M,1
Excellent electronic vision aids!,F,1
Very fast and efficient service..... all-around great company,M,1
Had a question about our body. Visiting for the reformulation of hibernation and for helpful info as to what else he needed. They were very quick to give me a fitting solution to that.,F,1
Thank you for the Great Results You and Your Team Installed in Her Life,M,1
Who DOES TYKE ARGENTIAL ZOMBIES........!!!!!!!!!,M,0
the best value.,F,1
excellent service,F,1
Best customer service,M,1
use an approved Mailzz postal courier at soonest when possible,M,1
If they can get a second and subsequent orders they must be good.,M,1
made to order catering,M,1
"Best shopping site for pet food, toys, and mixers",F,1
great service,M,1
adopted condition,M,1
Love the site!,M,1
Good karate mat. Cheap.,M,1
Matchbox is the winner for gaming on a Sunday afternoon!,M,1
Petco gave a pretty bad experience,F,1
master card,F,1
I found this company very helpful in providing the product I wanted and the product itself just what I was waiting for,F,1
Best Straight Razor I've Seen: Look No further!–Kienzler Strapped Razors Warranty!,M,1
The shirts were great and fun to wear!,F,1
Water Bottles,F,1
"A great Cinemark gaming experience, with even disguising sprites!",F,1
One of the best Fit apple users in the area.... The entire staff are welcoming and they make you feel welcome to the location. The accessories department is also amazing tyres are there Neodimat reflective and colour brake parts for Merseyside Janites - call them if you want to fit wheels to the reg - the only issues I have with them involve getting into the vehicle.,F,1
Excellent product. Thank you for saving us over $8 on our cat food some months ago,F,1
Great order receiving facility handy to me has a friendly team. Good performance and warmth to receive work,M,1
Closer magnets,M,1
Good overall experience shop,M,1
"Great prices, the best service",M,1
This article is a review of Jilly,F,1
For a good work and quality product. we have used this company for a couple of years!!,M,1
"I was held truly excited about this game. The thought of this being a Case to my cardboard box on display was something to do with the residued waxy feeling I had. However since it adds to the existing case, I really can't think of anything else to say.",M,0
Very A- mark of them,F,1
"Excellent part fitting, utterly unique and not cheap!",M,1
Good-Quality Alloy Decking company - Friendly staff delivery time has been freshly punctual.,F,1
Hostelworld mainly spends time on advertising,F,1
Fast efficient and affordable healthcare products.,M,1
Excellent for both gift and event use,M,1
Excellent customer service!,M,1
great savings using boilerjuice,F,1
"Great customer service, great product",F,1
Also some of the chairs look exactly like those pictures.,F,1
Just didn't like boohoo experience. Deep stain on item,F,0
Christie Walters,M,1
Serious as children,F,1
Disappointing product,F,0
Works perfectly. Much better than other online retail sites,M,1
"Awesome Description: Perfectly captured in magnificent detail. After a thoroughly enjoyable service, the ship arrived yesterday (Utah, Love passport)I would like to resumand",F,1
Quality Huge Savings,M,1
"Great Shop and they were completely stocked and happy to be helpful. They were kind, helpful and most importantly gave me a very nice deal.",M,1
We examined the favourite clothes in the gym and were impressed,F,1
"PureFormulas has provided fast service, and reasonable prices. As a retiree on limited income, their prices are within my budget. Thanks PureFormulas",M,1
Excellent customer service,M,1
Where's the customer support?,M,0
Will stick a sticker in window and mornings should have gas or oil change reminder,M,1
Excellent quality with the beach towel!,F,1
Omega300 G bar has a clean taste as well as plenty of protein that your body can't seem to get enough of.,M,1
Tripadvisor gave it a perfect five stars.,M,1
"Is this what you have to catch? If you do this, then you won't need the ticket to the hotel. &quot;E Plz Tell Me The Help&quot;",M,0
"Great advice, service and price. Fast and friendly. Highly recommended.",M,1
Leranga recipe blends when combined with 100mg vitamins n minerals,F,1
"Web Label Factory® / ""My OWN Labels®"" offers online name labels and clear plastic labelling products for a cost effective option for home.",F,1
"Upon receiving my order, I could not be any happier with them.",F,1
Reviews of our products and services,F,1
Super service - order place over the Christmas period and delivered within two days!,M,1
Great Company! I highly recommend them,F,1
This review is for B&H's website.,M,1
Bill successfully returned Sofa Mahin in excellent condition to me and lodged it at my new home nicely away from the street so I could enjoy it immediately.,F,1
Awesome customer service on Black Friday,M,1
"Nice location, the staff were really polite and helpful.",M,1
Very good idea for personalized gift cards!!,F,1
"I order one time. Turf is perfect, great pictures.",M,1
Great customer service!: Wonderful service for a five star hotel!,M,1
Excellent.,F,1
Very friendly and excellent service,M,1
Awesome service at low prices. I will continue to use them for our trips,M,1
Excellent customer service. Ordered a new fence for my brother's home and he is 10 months old (camping) and I contacted him with a warranty hot,F,1
The Barbour Tweed.,M,1
CARUSION WORK FOR AUTO EUROPE (CITY-GATE),F,1
the Smart Stethoscope with personalized engraving!Q: How did I order,F,1
happy with the service,M,1
"I would make another purchase with Frames Direct, as customer service, quality and fast shipping speaks for itself.",F,1
delivered quickly,M,1
Bankrupt!,M,0
my camera is worth every penny,M,1
Excellent service,M,1
Awesome stuff.,F,1
Part was synthetic and the part fit exactly fit.,M,1
service : ok dont have any....,F,1
CRAFT WEBSITE classic OAK frame is Light and Compact Purchase a frame for a crated crooked.,F,1
"My car was repaired without complaint, I bought new tyres in January 2010 and every single aspect of my hometown has been trouble-free!",M,1
Shower cubicle completed to the customers requirements,M,1
Excellent Service,F,1
"""Book It"" Check out the information not included and it turns out to be ""booking.com"" misunderstanding the second group of folks staying here our groups Richard & Marguerite.",M,1
walkin through 0821,M,1
great choice of rapid service inque...,M,1
Five Stars to Mavis,M,1
Excellent customer service.,F,1
"Wii rental with gifts or money: Waistline than sales of Wii games including the highest-quality-available CJC laptops available with discounted margins.Could buy some laptops and wireless mouses.Deals on all major Major Games including:Scary Games,Through-Bargains-and- looked-priceless: Free Wi-Fi, Carpets, Games, Refaktors & Retro-Retro-Video",M,1
MCM Recieved the part I needed and made an alert of it.,M,1
"Very disappointed to only receive one sandal. Cant understand how this happened, surely boxes are checked before shipment. On reporting the error to customer service by email i was told to send the sandal back. No offer to send on the one that was missing.",F,0
Best book I have ever read.,F,1
The Near by Chinese Lanterns,M,1
Credit Card Expert Site,M,0
Astonishing Arrangement,F,1
Always have good service.,M,1
great service from group garage in chepstow,M,1
"If you are looking for a fun and a comfortable time, look no further than Travelocity Travel.",F,1
Professional parts and service for your helo click lifter 3.0.wtg mk5s,F,1
Excellent company with the best quality.,M,1
Product is fine and arrived on time,F,1
Fabulous quality product even if a bit pricey,M,1
They offer high quality books at very reasonable prices,M,1
Excellent service and help with sales.,F,1
Easy airport car parking booking site is priced at 30 Euros.,M,1
There is not enough words to describe the success of Country Attire UK Ltd. who are based in glorious dover and started off Bethany Beach beach block rabbit dog liner for a dog walk up the hill. Country Attire have numerous products for the classic cat lover,F,1
great choice,M,1
"Excellent ""add-on"" for peace of mind and comfort of placement!",M,1
Great work.,M,1
"Excellent Service, excellent sandals",M,1
user review,F,1
receive service are satisfied with the product.,F,1
"The service is good, the prices very good.",F,1
Thanks Crystal Travels!,M,1
"I had an issue with a Stolen Star Alliance Flight, Travelocity failed to cancel either my booking or my airline ticket",F,0
Very prompt and reasonable servicel,F,1
"If only I could travel as easy for her as she does, I certainly can!",M,1
"Really good quality, really nice product, and say hi to Mezun Du.",F,1
"Partsgeek is a transferable/get-it-done technology that lets you transfer-goods, software, and memory for less than fast rates (which is what I was pleased with since, according to Droyer, today there are not enough people in our country to settle the national university finance fees. Partsgeek uses PayPal as a means to conduct business,",M,1
Standard Electric on the Hill: A star must! Thanks for topping my survey!,M,1
Outstanding customer service.Would use Calendar again.I'm giving a tip,M,1
BIG surprise at Stephen Son World Market,F,1
Casey the web operator,M,1
can lead to irritation with the femoral ribbone,M,1
"I can't say enough about Foardi Auto Rental. I can't even start renting a car from these guys. The vehicles are expensive, but so is the service.",F,1
Beautiful Photo Album : jAlbum was easy to setup and upload to my Website. I have only had positive comments from people who have viewed the album,M,1
I'm still waiting on a door to door axle,M,0
How to find a place to stay in a place to stay.,M,1
Excellent service.,M,1
Raspberry Pi every one should have one: USB power adapter,M,1
Found parcels'safe' with urgency,M,1
Excellent service with simple and stylish products at a great price.,F,1
from my sleepy and poor cat,M,1
We hope we can be of service to you.,M,1
Exactly what I was looking for and more!:,F,1
Great service.,F,1
Best buy brand and best price on whole lens shop all under one roof,M,1
. dogs diet. the time saver.,F,1
The best sites for healthy food claims!,M,1
Speediest service I have ever experienced for an online shipping,F,1
Excellent service. Excellent price,F,1
Excellent customer service and prompt delivery,M,1
Very professional staff!,M,1
I love it!,F,1
I love the convenience of not having to leave my home at 7am to pay attention to email notifications.,F,1
Have received ben12ton and not a hassle when out of stock,M,1
in a nutshell,M,1
"Outstanding service with superior product, service and attention to detail.",F,1
"The smallest garage in Madison, but it makes travel easy!",F,1
Excellent service and low prices.,F,1
My Off Whoa!,M,1
Wiggle offers great value for money on bicycle parts.,M,1
Good prices and fast delivery:,F,1
Excellent service,M,1
"The hotel clerk won the Sunday afternoon local customer acquisition competition, stating she saved a bottle of fifty on the lighter night.",F,1
