text,category,label
rate the current essay four of 6,RateBook,LABEL_4
rate My Life As a Book five out of 6,RateBook,LABEL_4
rate this book one for this stars judging,RateBook,LABEL_4
book a stracciatella provider coffeehouse for 10,BookRestaurant,LABEL_1
What are the movie times for movies around here,SearchScreeningEvent,LABEL_6
add Dr Know to the playlist named I Love My 90's R&B,AddToPlaylist,LABEL_0
Book a food truck in Argusville that has fish chips,BookRestaurant,LABEL_1
Open Netflix and play David Frizzell,PlayMusic,LABEL_3
Add jack scott to my fantasía playlist,AddToPlaylist,LABEL_0
play something from 1971 by John Bonham,PlayMusic,LABEL_3
Can I get the showtimes for the closest movie theatre that has the newest films .,SearchScreeningEvent,LABEL_6
What's the weather going to be like in PR at nineteen o'clock,GetWeather,LABEL_2
What is the movie schedule for films in the neighbourhood,SearchScreeningEvent,LABEL_6
Play some alternative music on Vimeo,PlayMusic,LABEL_3
I want a list of films that are going to be shown in the neighborhood .,SearchScreeningEvent,LABEL_6
Show the Day the Earth Caught Fire movie,SearchCreativeWork,LABEL_5
Find a book called Screwed .,SearchCreativeWork,LABEL_5
Add this artist to the laugh list,AddToPlaylist,LABEL_0
what time is Mulawin The Movie showing at the nearest movie house,SearchScreeningEvent,LABEL_6
Rate the current album 3 points,RateBook,LABEL_4
something on Spotify please,PlayMusic,LABEL_3
play the top-twenty margaret becker songs with google music,PlayMusic,LABEL_3
Add CJ Snare to my indie mim playlist,AddToPlaylist,LABEL_0
Looking for Kepler scientific workflow system,SearchCreativeWork,LABEL_5
rate this album one out of 6,RateBook,LABEL_4
What are the movie times for films playing in the area ?,SearchScreeningEvent,LABEL_6
Please play some music for me on Netflix,PlayMusic,LABEL_3
Weather for here right now,GetWeather,LABEL_2
Is it hot in the current location ?,GetWeather,LABEL_2
Put the Love Hurts track onto carmen's playlist.,AddToPlaylist,LABEL_0
Rate Illness as Metaphor 5 of 6,RateBook,LABEL_4
Book a table for three at a restaurant in Louisiana,BookRestaurant,LABEL_1
"Will there be wind on january 24, 2019 in Ransom",GetWeather,LABEL_2
Find the schedule for The Kentuckians .,SearchScreeningEvent,LABEL_6
What films are at Century Theatres in twelve hours,SearchScreeningEvent,LABEL_6
What time is cinema playing The Village Priest ?,SearchScreeningEvent,LABEL_6
Play genre opera,PlayMusic,LABEL_3
book The Lake House for me and carmella,BookRestaurant,LABEL_1
"find Attack Surface Analyzer , a painting",SearchCreativeWork,LABEL_5
rate this novel a four,RateBook,LABEL_4
Add a track to my girls' night playlist.,AddToPlaylist,LABEL_0
Show Acta Mathematicae Applicatae Sinica TV show,SearchCreativeWork,LABEL_5
I'd like to rate this textbook 4 out of 6,RateBook,LABEL_4
Take me to the top-rated taverna in Sealy for trattoria next week for 5,BookRestaurant,LABEL_1
book a spot for one at four AM,BookRestaurant,LABEL_1
Rate The Taking series a zero out of 6,RateBook,LABEL_4
Give the current novel 3 stars .,RateBook,LABEL_4
I'd like to give The Harder They Come two points,RateBook,LABEL_4
I want to book a cafe for 3 in Fargo,BookRestaurant,LABEL_1
How much fog is there in Hahnville ?,GetWeather,LABEL_2
Play 1966 theme music on Slacker .,PlayMusic,LABEL_3
Play the newest released song from 1951,PlayMusic,LABEL_3
I need a table at The Ledbury at 18 o'clock,BookRestaurant,LABEL_1
give 3 out of 6 points to current novel,RateBook,LABEL_4
For this essay I give a posiabble 3 of 6,RateBook,LABEL_4
Congress has warmer weather,GetWeather,LABEL_2
Play a song off The Best Of Siouxsie & The Banshees by Faustino Oramas,PlayMusic,LABEL_3
I want to give The Plague Lords of Ruel 0 stars,RateBook,LABEL_4
Book a cafeteria that serves bagels for six people.,BookRestaurant,LABEL_1
I'm looking for the movie called The Beast that Shouted Love at the Heart of the World .,SearchCreativeWork,LABEL_5
I would give Hell Hath Fury one points,RateBook,LABEL_4
What will be the wind speed around Pembina Gorge State Recreation Area October the 27th ?,GetWeather,LABEL_2
What is the humidity like in faraway on AK,GetWeather,LABEL_2
Rate the current essay 0 of 6,RateBook,LABEL_4
Book me a table for 8 at a restaurant for seven pm,BookRestaurant,LABEL_1
"Book a table for 1 on November the first, 2022",BookRestaurant,LABEL_1
"Book a reservation for a parry of eight for a restaurant in Birch River , MO",BookRestaurant,LABEL_1
What's the weather two months from now in Arletta Malawi,GetWeather,LABEL_2
what movies are at the nearest movie house,SearchScreeningEvent,LABEL_6
I give Obama From Promise to Power 6 points and a rating value of 1,RateBook,LABEL_4
Rate The Agent of Death with five stars out of 6,RateBook,LABEL_4
What is the local movie schedule,SearchScreeningEvent,LABEL_6
Tell me if there's be a depression in Brazil,GetWeather,LABEL_2
I give this current textbook five stars,RateBook,LABEL_4
find me The Seven-Ups,SearchCreativeWork,LABEL_5
Play some twenties chant music on Slacker,PlayMusic,LABEL_3
book me top-rated restaurant for 9 members for midnight at Fair Bluff RI,BookRestaurant,LABEL_1
show creativity of Comeback Season,SearchCreativeWork,LABEL_5
Play play Lodge by Alkabli on lastfm .,PlayMusic,LABEL_3
What time is Swarna Trishna playinh at Loews Cineplex,SearchScreeningEvent,LABEL_6
Play The Eternal by Juju Mob on Vimeo .,PlayMusic,LABEL_3
Add the fire and the wind to my Digster Future Hits playlist.,AddToPlaylist,LABEL_0
give 5 rating for this textbook,RateBook,LABEL_4
"Show me weather forecast in Clontarf , KY from 4 hours from now .",GetWeather,LABEL_2
give 1 star to The Cure for Death by Lightning,RateBook,LABEL_4
I'd give The Hundred Thousand Kingdoms a three of 6,RateBook,LABEL_4
Which films are playing at the IMAX Corporation ?,SearchScreeningEvent,LABEL_6
add saxophone supremacy to ofelia's calm before the storm playlist,AddToPlaylist,LABEL_0
I want to hear a good song from 2016,PlayMusic,LABEL_3
I want to hear something from the top-fifty by Jose Pasillas,PlayMusic,LABEL_3
Can I see the movie schedules ?,SearchScreeningEvent,LABEL_6
rate the current textbook zero out of 6 points,RateBook,LABEL_4
"On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall",BookRestaurant,LABEL_1
What's the weather in Waretown Lebanon,GetWeather,LABEL_2
Can you find the movie Accidentally in Love,SearchCreativeWork,LABEL_5
Rate the current album 4 out of 6 stars,RateBook,LABEL_4
Play the newest chant by John Doyle on Zvooq,PlayMusic,LABEL_3
"book a table for jasmine, jeannie and leta",BookRestaurant,LABEL_1
what kind of films are at the closest movie house,SearchScreeningEvent,LABEL_6
book a spot for seven in 8 seconds from now,BookRestaurant,LABEL_1
I want to hear a nineties track by stat quo on Deezer,PlayMusic,LABEL_3
movie schedules of movies in the neighbourhood at zero am,SearchScreeningEvent,LABEL_6
Rate The Scoop 5 out of 6 points,RateBook,LABEL_4
I feel that The Loveday Trials is rated at a one out of 6 points .,RateBook,LABEL_4
I'm looking for a picture titled Rock Painting,SearchCreativeWork,LABEL_5
I give the Knife of Dreams saga a 0 of 6,RateBook,LABEL_4
Add this Nozomi Tsuji tune to my Hot House playlist,AddToPlaylist,LABEL_0
What is the weather forecast in 2 seconds for South Carolina,GetWeather,LABEL_2
Rate Notes from the Internet Apocalypse four of 6 stars,RateBook,LABEL_4
Play theme music from 2011 .,PlayMusic,LABEL_3
what movies are showing at Fox Theatres at 11 am,SearchScreeningEvent,LABEL_6
Is it warm in Fernley ?,GetWeather,LABEL_2
"add Please, Please, Please, Let Me Get What I Want to my crate diggers anonymous",AddToPlaylist,LABEL_0
Add child owlet to my Sleep Sounds playlist,AddToPlaylist,LABEL_0
I want to book a pub in MS that serves festoni,BookRestaurant,LABEL_1
"What will the weather be at ten am in Fourche , NV",GetWeather,LABEL_2
Add Bone Crusher to the chill out playlist,AddToPlaylist,LABEL_0
Book a restaurant on June the fifth in Cavour .,GetWeather,LABEL_2
will it be colder this Saturday in NC,GetWeather,LABEL_2
Find the movie times for nearby films .,SearchScreeningEvent,LABEL_6
book a spot for three at a bakery in Grand Portage,BookRestaurant,LABEL_1
Book a table over the internet for six at a food truck in Vanuatu for two pm,BookRestaurant,LABEL_1
find Regal Entertainment Group animated movies,SearchScreeningEvent,LABEL_6
Is Live from Sturgis 2006 playing at four o'clock at the nearest cinema ?,SearchScreeningEvent,LABEL_6
Find time for Ace of the Saddle,SearchScreeningEvent,LABEL_6
Show The Collectors video game,SearchCreativeWork,LABEL_5
Book a reservation for 8 at a restaurant that serves chicken fried bacon in Aruba,BookRestaurant,LABEL_1
I would like to rate Tar A Midwest Childhood a value of 1 and a best rating of 6,RateBook,LABEL_4
find a cinema nearest showing Twilight of Shadows at breakfast time,SearchScreeningEvent,LABEL_6
I need to book a highly rated restaurant in Coronado,BookRestaurant,LABEL_1
where is The Chief Cook playing,SearchScreeningEvent,LABEL_6
I'm looking for the work titled Converging Conspiracies,SearchCreativeWork,LABEL_5
Reserve a table for my bf and I at Montreal Pool Room in Indiahoma,BookRestaurant,LABEL_1
Rate this essay a 3,RateBook,LABEL_4
Does AMC Theatres have movie schedules out?,SearchScreeningEvent,LABEL_6
Which cinema is showing A Dedicated Life starting at eleven PM,SearchScreeningEvent,LABEL_6
Will it get windy close by here ?,GetWeather,LABEL_2
Tell me when it will be humid here,GetWeather,LABEL_2
Will the weather be stormy in Aurora ?,GetWeather,LABEL_2
add tune to my metal crash course playlist,AddToPlaylist,LABEL_0
rate Covering The Hidden Assault on Our Civil Rights 1 point,RateBook,LABEL_4
What's the weather in Paris ?,GetWeather,LABEL_2
"Will it be warmer at lunch in Prentice , Armenia",GetWeather,LABEL_2
Find I Could Fall in Love .,SearchCreativeWork,LABEL_5
this saga is definitely worth 4 stars .,RateBook,LABEL_4
"21 weeks from now elinor, crystal turner and nita want to eat german food at a bar in distant California",BookRestaurant,LABEL_1
how warm will it be in 10 minutes,GetWeather,LABEL_2
Rate The Best American Short Stories 2007 one out of 6 points,RateBook,LABEL_4
rate The Gutting of Couffignal one points,RateBook,LABEL_4
"find Back to Boomtown Classic Rats Hits , a soundtrack",SearchCreativeWork,LABEL_5
add this song to my metal playlist,AddToPlaylist,LABEL_0
book a restaurant for 4,BookRestaurant,LABEL_1
"I want to rate Nathaniel Fludd, Beastologist 1 out of 6",RateBook,LABEL_4
add this tune by hart wand on this is wagner,AddToPlaylist,LABEL_0
put this artist onto political punks .,AddToPlaylist,LABEL_0
book a spot for six at a restaurant that serves fish and chips,BookRestaurant,LABEL_1
Will it be temperate near Neylandville,GetWeather,LABEL_2
What time are films showing at KB Theatres,SearchScreeningEvent,LABEL_6
give Portions from a Wine-stained Notebook Short Stories and Essays 0 points,RateBook,LABEL_4
Show me the Landing at Low Tide painting,SearchCreativeWork,LABEL_5
Rate CIA World Factbook five out of 6 stars,RateBook,LABEL_4
rate The Pagan Christ zero points out of 6,RateBook,LABEL_4
Show Force of Nature,SearchCreativeWork,LABEL_5
play Sunshine Reggae on youtube,PlayMusic,LABEL_3
Give The Slap 0 stars,RateBook,LABEL_4
Will it be chilly in two hundred thirteen days at Dochū-Kōtsu Prefectural Natural Park,GetWeather,LABEL_2
book a taverna for 10 for NY,BookRestaurant,LABEL_1
Play the most popular Johnny Clarke on Deezer .,PlayMusic,LABEL_3
Find me a table for four somewhere,BookRestaurant,LABEL_1
play an eighties track,PlayMusic,LABEL_3
can i have the movie schedules,SearchScreeningEvent,LABEL_6
What's the weather forecast for breakfast time in Palau ?,GetWeather,LABEL_2
I'm looking to book a seat at a bakery that serves coleslaw at 194458 .,BookRestaurant,LABEL_1
Find the schedule for Better This World at a movie house .,SearchScreeningEvent,LABEL_6
which is the nearest movie house playing The Diary of Anne Frank,SearchScreeningEvent,LABEL_6
use Slacker to listen to seventies music,PlayMusic,LABEL_3
I need a weather update now for Manhattan Project National Historical Park,GetWeather,LABEL_2
What's the weather in Oregon,GetWeather,LABEL_2
Play Salmonella Dub Dvd by mario rubalcaba on Vimeo,PlayMusic,LABEL_3
play Steven Reineke greatest soundtrack on Youtube,PlayMusic,LABEL_3
"I'd like to eat at a top-rated place on nov. the twenty-sixth in the food court , I need reservations for 7 in the city of Kane or somewhere near there.",BookRestaurant,LABEL_1
Book a restaurant for august fourth not far from the Marshall Islands .,BookRestaurant,LABEL_1
Is there a blizzard in Stonewood ?,GetWeather,LABEL_2
What's the weather forecast for MI for August 20th ?,GetWeather,LABEL_2
Where can I view the picture Reaching Horizons,SearchCreativeWork,LABEL_5
what is the weather forecast for Israel,GetWeather,LABEL_2
Play blues on Vimeo,PlayMusic,LABEL_3
What is the forecast for Farmerville in Cape Verde,GetWeather,LABEL_2
add abrar ul haq to Confidence Boost,AddToPlaylist,LABEL_0
Add this song to my fairy tales,AddToPlaylist,LABEL_0
Rate Fast Food Nation 2 points,RateBook,LABEL_4
Give this current book zero out of 6,RateBook,LABEL_4
I give zero points to this chronicle,RateBook,LABEL_4
Can you put freddie freeloader on the playlist instrumental madness,AddToPlaylist,LABEL_0
Show movies in the neighborhood,SearchScreeningEvent,LABEL_6
I need a table for four at a restaurant in AL,BookRestaurant,LABEL_1
what will the weather be at Mu Ko Phetra National Park on Administrative Professionals Day,GetWeather,LABEL_2
play a theme from 1985 by Patrick Cowley,PlayMusic,LABEL_3
show me God Bless the Child photograph,SearchCreativeWork,LABEL_5
Book a CO table at Windows on the World,BookRestaurant,LABEL_1
What's the weather supposed to be like in Elmer City,GetWeather,LABEL_2
What will the weather be in Hillview ?,GetWeather,LABEL_2
I'd like to find the book called The Years,SearchCreativeWork,LABEL_5
Find me the showtimes for Until Death at the nearest movie house .,SearchScreeningEvent,LABEL_6
what time can i see The Conflicts of Life,SearchScreeningEvent,LABEL_6
Please book a table for four at a restaurant in TN,BookRestaurant,LABEL_1
I want to hear This Is The Night from Proof,PlayMusic,LABEL_3
Add song to my Club Hits,AddToPlaylist,LABEL_0
Will it be colder in Oswego 16 weeks from now ?,GetWeather,LABEL_2
Play some music from 2011 on lastfm,PlayMusic,LABEL_3
"Tell me the weather forecast for Lecanto , Georgia",GetWeather,LABEL_2
play 1970 trunes,PlayMusic,LABEL_3
I want to watch the television show New Astronomy,SearchCreativeWork,LABEL_5
I want to hear something off Fist For Fight by Rushton Moreve on Youtube,PlayMusic,LABEL_3
I want to listen to Swing music on Iheart,PlayMusic,LABEL_3
Rate this novel one of 6,RateBook,LABEL_4
find animated movies nearby,SearchScreeningEvent,LABEL_6
Where can I purchase the TV show Time for Heroes,SearchCreativeWork,LABEL_5
I want to book a restaurant now in Ludlow for eight,BookRestaurant,LABEL_1
add tune to my playlist ironing,AddToPlaylist,LABEL_0
play a 1977 record by Bitty Mclean on Google Music,PlayMusic,LABEL_3
find a movie theatre with Rogues and Romance that is nearest,SearchScreeningEvent,LABEL_6
put Edwyn Collins onto my Trabajo Relax playlist,AddToPlaylist,LABEL_0
Play music from the album Evolution Of A Man by Joey Ramone,PlayMusic,LABEL_3
What will the weather be a nine in Willow River State Park ?,GetWeather,LABEL_2
Rate the current album 2 stars,RateBook,LABEL_4
I give the next novel two stars,RateBook,LABEL_4
I want to know the weather in ten weeks from now in John N and Melba S Anderson Memorial Conservation Area,GetWeather,LABEL_2
play the TV show Wicked City,SearchCreativeWork,LABEL_5
Book a reservation for 2 at a food truck with pool in New York,BookRestaurant,LABEL_1
Play some music from Roberto Carlos,PlayMusic,LABEL_3
Need a booking for 6 in OK for the city of Boonton,BookRestaurant,LABEL_1
What movie schedules are animated movies close by,SearchScreeningEvent,LABEL_6
"Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037 .",GetWeather,LABEL_2
book a mediterranean restaurant for my sister and I,BookRestaurant,LABEL_1
Play some 1982 movement music on Slacker,PlayMusic,LABEL_3
What time are animated movies playing in the area,SearchScreeningEvent,LABEL_6
play Calico Skies by John Feinstein with Netflix,PlayMusic,LABEL_3
Book a table for 5 at a pub during my Macedonia trip that serves czech food.,BookRestaurant,LABEL_1
Play Tujiko Noriko 's Ten Years And Running .,PlayMusic,LABEL_3
put Kids of the Black Hole onto my 90s por siempre playlist,AddToPlaylist,LABEL_0
What is the weather forecast in Canfield at 222322,GetWeather,LABEL_2
add bad news to highway 61 playlist,AddToPlaylist,LABEL_0
Rate this textbook four of 6,RateBook,LABEL_4
Will it be colder in Noblesville East Timor at 3 pm ?,GetWeather,LABEL_2
Add Sunday Express Live to workout playlist,AddToPlaylist,LABEL_0
Rate the current textbook 1 of 6 stars,RateBook,LABEL_4
Can you play a song off an album by Shirley Horn,PlayMusic,LABEL_3
Play celtic music,PlayMusic,LABEL_3
Show me the movie times for animated movies that are in theaters close by,SearchScreeningEvent,LABEL_6
I would like you to add now the hits of winter 2008 onto my ntc studio sounds playlist.,AddToPlaylist,LABEL_0
Play 2004 on pandora,PlayMusic,LABEL_3
add paula abdul to Classic Acoustic playlist,AddToPlaylist,LABEL_0
Play breed the killers on Itunes,PlayMusic,LABEL_3
Is it chilly in Ecola State Park at 2 pm,GetWeather,LABEL_2
I need movie schedules,SearchScreeningEvent,LABEL_6
Add rev-raptor to 90s Indie,AddToPlaylist,LABEL_0
book a spot at Rimsky-Korsakoffee House in Mackville,BookRestaurant,LABEL_1
play Lighter by Pamela Jintana Racine,PlayMusic,LABEL_3
i need movie times for films in the neighbourhood,SearchScreeningEvent,LABEL_6
Where can I see Travelling Light ?,SearchScreeningEvent,LABEL_6
I want to hear a top-50 track from Takahito Eguchi on Google Music,PlayMusic,LABEL_3
Rate The War of the Roses 2 out of 6,RateBook,LABEL_4
Play Oliver Cheatham 's symphony from the thirties .,PlayMusic,LABEL_3
I'm wondering what cinema is playing Peters baby .,SearchScreeningEvent,LABEL_6
Play Eternally by Marko Desantis on zvooq .,PlayMusic,LABEL_3
Find out what films are playing at North American Cinemas,SearchScreeningEvent,LABEL_6
Where can I purchase the game Dancing in the Dark 10 Years of Dancing Ferret,SearchCreativeWork,LABEL_5
add jason webley to Classical Intimate Dinner playlist,AddToPlaylist,LABEL_0
I give this book Dictionary of the English Language a 4 rating,RateBook,LABEL_4
Play music from the artist Joe Sample,PlayMusic,LABEL_3
restaurant in Watauga for me and my aunt,BookRestaurant,LABEL_1
Rate this novel a 1 out of 6,RateBook,LABEL_4
I need to book an indoor pub in Strabane,BookRestaurant,LABEL_1
Will it be stormy not far from ID on 10/2/2021,GetWeather,LABEL_2
add bert mccracken tune lo que suena new york playlist,AddToPlaylist,LABEL_0
Incorporate time warp into my fairy tales playlist.,AddToPlaylist,LABEL_0
is there going to be snowfall in Alton,GetWeather,LABEL_2
Find the movie schedule for the Cineplex Odeon Corporation .,SearchScreeningEvent,LABEL_6
forecast for Conrad,GetWeather,LABEL_2
"find The Living Room Tapes , a TV series",SearchCreativeWork,LABEL_5
I give Benson-Meditation 1 out of 6 stars .,RateBook,LABEL_4
Let me get the movie schedule for lunch time.,SearchScreeningEvent,LABEL_6
what is the 7 day for Cheat Canyon Wildlife Management Area,GetWeather,LABEL_2
Play a song from Helena Iren Michaelsen on Spotify,PlayMusic,LABEL_3
Include Brandon Paris in The MetalSucks Playlist,AddToPlaylist,LABEL_0
In Hawaii will it be warmer at 3 am,GetWeather,LABEL_2
Play some Rachel Stevens off of Itunes,PlayMusic,LABEL_3
show me PhotoScape,SearchCreativeWork,LABEL_5
what is the forecast for Bad Branch Falls State Nature Preserve for in 1 hour and 14 seconds,GetWeather,LABEL_2
Find the schedule for The Devil Diamond at a movie theatre .,SearchScreeningEvent,LABEL_6
Add this track to epic wall of sound,AddToPlaylist,LABEL_0
Show me the song The Incredible Hulk Returns,SearchCreativeWork,LABEL_5
add tune to my playlist eletro br,AddToPlaylist,LABEL_0
Play a Scott Lafaro soundtrack,PlayMusic,LABEL_3
I would rate this album 1 points,RateBook,LABEL_4
What is the weather like in Cameroon,GetWeather,LABEL_2
Rate The White Abacus zero out of 6 points,RateBook,LABEL_4
Please open pandora for me,PlayMusic,LABEL_3
Rate this awful book called Cold with 0 out of 6 points,RateBook,LABEL_4
Add the tune by Cassie Ventura to my genre bender playlist,AddToPlaylist,LABEL_0
Book restaurant for party of 7 at a pub in Ford Heights,BookRestaurant,LABEL_1
What is the movie schedule for today?,SearchScreeningEvent,LABEL_6
will it be hotter Netherlands Antilles Flats on april the 27th,GetWeather,LABEL_2
"Play the playlist, A Mis Niños de 30 .",PlayMusic,LABEL_3
The current book deserves a rating of only one .,RateBook,LABEL_4
rate the current chronicle book three points,RateBook,LABEL_4
"On june 27, 2026 I'd like to go to a Delaware gastropub",BookRestaurant,LABEL_1
Add album to Pop Rising,AddToPlaylist,LABEL_0
Rate this novel one out of 6 stars,RateBook,LABEL_4
Make a restaurant reservation for me and my son at twenty three o'clock .,BookRestaurant,LABEL_1
Rate the current novel four out of 6 points,RateBook,LABEL_4
I want to book a table for two at a close by bar in Kuwait .,BookRestaurant,LABEL_1
Is Mentioned in Confidence at the cinema,SearchScreeningEvent,LABEL_6
Is it going to be chilly here,GetWeather,LABEL_2
The book History by Contract is rated five stars in my opinion.,RateBook,LABEL_4
add i roy to my this is Rosana playlist,AddToPlaylist,LABEL_0
how cold is it in Princeton Junction,GetWeather,LABEL_2
rate this essay one out of 6 stars,RateBook,LABEL_4
I'd like to put duett onto my hot country playlist.,AddToPlaylist,LABEL_0
play Latina,PlayMusic,LABEL_3
I'd like showtimes for The Story of Wish You Were Here .,SearchScreeningEvent,LABEL_6
What's the weather in Kiahsville in the Cayman Islands,GetWeather,LABEL_2
What time is Three Cuckoo Clocks playing?,SearchScreeningEvent,LABEL_6
Please tell me movie times,SearchScreeningEvent,LABEL_6
Can you look up the Galsoft Linux TV series ?,SearchCreativeWork,LABEL_5
give the current album a score of five out of 6,RateBook,LABEL_4
Find the album Follow That Camel,SearchCreativeWork,LABEL_5
Find a television show called The High Chaparral .,SearchCreativeWork,LABEL_5
play Wait Until Tomorrow,PlayMusic,LABEL_3
Play melody music from the fourties .,PlayMusic,LABEL_3
Add kaya newest track to my I Love My '00's R&B playlist,AddToPlaylist,LABEL_0
Give Physics of the Impossible four points .,RateBook,LABEL_4
Play Nick Hexum latest album,PlayMusic,LABEL_3
book a table in the United States for 10 at The Berghoff,BookRestaurant,LABEL_1
Please book reservations for 3 people at a restaurant in Alderwood Manor,BookRestaurant,LABEL_1
What is the weather in Mascotte,GetWeather,LABEL_2
I want to book a restaurant for nine with wifi,BookRestaurant,LABEL_1
forecast for Israel,GetWeather,LABEL_2
I want this chronicle to get a rating of 4,RateBook,LABEL_4
put this song on the Chips and Salsa playlist,AddToPlaylist,LABEL_0
When will the weather be temperate like it is now in Stansbury Park in Tuvalu,GetWeather,LABEL_2
